County Name,Total Medicaid Coverage Rate,Child Medicaid / CHIP Coverage Rate,Adult Medicaid Coverage Rate,Senior Medicaid Coverage Rate
Appling County,23.20%,49.30%,12.80%,18.40%
Atkinson County,25.20%,50.40%,13.60%,22.30%
Bacon County,23.80%,48.70%,13.60%,17.20%
Baker County,23.70%,54.00%,15.40%,17.90%
Baldwin County,23.00%,47.80%,13.70%,20.70%
Banks County,17.20%,40.20%,9.30%,15.20%
Barrow County,18.50%,41.00%,9.80%,13.20%
Bartow County,17.60%,40.20%,9.30%,13.80%
Ben Hill County,26.90%,53.50%,16.00%,23.90%
Berrien County,23.20%,48.70%,13.30%,19.30%
Bibb County,27.10%,52.70%,16.30%,25.30%
Bleckley County,21.70%,47.50%,13.10%,16.80%
Brantley County,20.50%,45.90%,12.60%,13.30%
Brooks County,26.00%,55.00%,14.40%,24.70%
Bryan County,17.10%,35.60%,8.70%,11.50%
Bulloch County,21.30%,45.20%,12.60%,16.10%
Burke County,25.00%,49.40%,14.40%,22.20%
Butts County,19.30%,45.70%,11.70%,13.80%
Calhoun County,25.80%,55.50%,16.10%,33.30%
Camden County,20.60%,44.00%,12.10%,13.70%
Candler County,23.40%,49.50%,13.00%,19.10%
Carroll County,20.50%,43.60%,11.50%,16.50%
Catoosa County,16.10%,40.30%,8.60%,8.90%
Charlton County,21.50%,49.60%,13.30%,15.80%
Chatham County,20.40%,46.80%,11.40%,17.70%
Chattahoochee County,25.20%,48.60%,15.70%,22.50%
Chattooga County,22.30%,49.90%,14.00%,14.20%
Cherokee County,13.70%,34.10%,6.60%,9.10%
Clarke County,20.00%,46.10%,11.70%,17.00%
Clay County,25.60%,54.90%,14.90%,20.60%
Clayton County,26.50%,52.60%,14.30%,26.60%
Clinch County,26.80%,50.60%,15.10%,29.90%
Cobb County,14.90%,34.40%,7.40%,14.50%
Coffee County,24.60%,48.30%,14.70%,21.80%
Colquitt County,25.40%,50.10%,14.30%,23.50%
Columbia County,16.00%,36.90%,8.10%,11.10%
Cook County,25.70%,48.70%,14.10%,27.20%
Coweta County,15.60%,37.70%,7.90%,10.50%
Crawford County,19.60%,46.10%,10.10%,18.80%
Crisp County,26.30%,52.10%,16.00%,22.70%
Dade County,16.50%,40.50%,8.70%,11.00%
Dawson County,14.60%,39.40%,8.00%,8.40%
Decatur County,26.50%,53.50%,15.80%,21.50%
DeKalb County,19.50%,41.50%,10.50%,22.50%
Dodge County,24.50%,50.30%,13.90%,29.90%
Dooly County,22.20%,51.80%,14.60%,19.90%
Dougherty County,30.10%,56.70%,18.50%,28.70%
Douglas County,19.90%,42.90%,10.50%,17.00%
Early County,26.10%,51.10%,14.70%,24.50%
Echols County,18.10%,42.20%,8.10%,17.80%
Effingham County,16.40%,38.10%,7.40%,12.90%
Elbert County,22.10%,47.90%,13.40%,17.60%
Emanuel County,25.40%,50.00%,15.10%,22.50%
Evans County,25.40%,48.60%,14.10%,23.80%
Fannin County,16.30%,46.40%,10.50%,10.80%
Fayette County,14.00%,34.40%,7.10%,9.10%
Floyd County,21.00%,45.60%,12.40%,15.00%
Forsyth County,11.70%,26.10%,5.40%,10.00%
Franklin County,20.70%,46.60%,11.80%,16.10%
Fulton County,17.50%,35.70%,9.70%,25.20%
Gilmer County,16.40%,43.50%,9.40%,10.60%
Glascock County,18.90%,43.30%,10.90%,13.30%
Glynn County,18.70%,45.10%,10.70%,12.60%
Gordon County,19.40%,43.80%,10.50%,14.90%
Grady County,23.50%,49.40%,13.60%,18.70%
Greene County,18.70%,46.90%,11.00%,13.20%
Gwinnett County,18.30%,39.10%,8.50%,20.90%
Habersham County,18.60%,42.30%,10.10%,14.00%
Hall County,18.20%,41.00%,9.40%,13.60%
Hancock County,24.30%,57.80%,15.50%,27.10%
Haralson County,19.00%,40.50%,11.10%,15.20%
Harris County,14.90%,37.90%,7.80%,9.60%
Hart County,18.70%,45.30%,10.50%,13.70%
Heard County,19.80%,42.90%,12.30%,14.50%
Henry County,18.20%,39.90%,9.40%,15.90%
Houston County,18.90%,41.60%,9.70%,15.20%
Irwin County,22.80%,48.30%,13.60%,17.40%
Jackson County,17.40%,39.30%,8.90%,12.80%
Jasper County,20.00%,44.90%,11.00%,15.90%
Jeff Davis County,25.00%,49.70%,14.80%,21.10%
Jefferson County,25.90%,51.50%,15.40%,22.60%
Jenkins County,26.10%,55.10%,16.50%,24.20%
Johnson County,24.30%,52.80%,16.00%,22.00%
Jones County,18.40%,42.70%,10.00%,14.40%
Lamar County,19.80%,44.10%,11.00%,15.60%
Lanier County,26.60%,52.00%,16.00%,27.60%
Laurens County,25.70%,51.00%,14.80%,23.60%
Lee County,17.30%,38.00%,8.70%,13.00%
Liberty County,24.70%,48.60%,13.70%,22.50%
Lincoln County,20.30%,47.20%,12.20%,16.10%
Long County,22.30%,46.60%,11.90%,14.80%
Lowndes County,23.90%,48.50%,14.00%,20.50%
Lumpkin County,16.20%,39.80%,8.90%,9.90%
Macon County,27.40%,57.30%,16.50%,31.30%
Madison County,21.40%,46.90%,12.60%,15.10%
Marion County,22.00%,48.00%,13.40%,16.90%
McDuffie County,23.80%,49.50%,13.70%,18.80%
McIntosh County,19.70%,51.00%,12.90%,15.40%
Meriwether County,24.40%,51.40%,15.10%,21.10%
Miller County,24.10%,47.60%,13.80%,24.90%
Mitchell County,27.70%,54.20%,17.50%,26.70%
Monroe County,17.00%,41.40%,9.30%,12.70%
Montgomery County,22.90%,47.50%,13.00%,20.70%
Morgan County,16.20%,38.20%,8.60%,12.50%
Murray County,18.80%,42.50%,10.20%,13.00%
Muscogee County,25.00%,49.10%,14.50%,25.50%
Newton County,21.80%,45.20%,12.10%,17.50%
Oconee County,12.70%,30.60%,5.80%,7.20%
Oglethorpe County,17.80%,42.40%,10.00%,11.50%
Paulding County,15.80%,35.80%,8.00%,11.40%
Peach County,23.30%,47.90%,13.50%,22.90%
Pickens County,15.60%,42.10%,9.10%,8.50%
Pierce County,21.60%,45.30%,12.70%,15.30%
Pike County,15.90%,36.70%,8.90%,9.60%
Polk County,21.50%,44.80%,12.80%,15.00%
Pulaski County,23.40%,51.80%,15.40%,19.50%
Putnam County,18.60%,46.80%,11.30%,12.60%
Quitman County,20.30%,57.30%,15.30%,16.00%
Rabun County,15.20%,45.60%,9.60%,8.80%
Randolph County,34.30%,59.90%,20.20%,37.60%
Richmond County,26.10%,52.80%,15.90%,23.20%
Rockdale County,21.20%,47.20%,11.50%,16.00%
Schley County,21.00%,43.70%,10.90%,27.00%
Screven County,22.30%,49.90%,12.50%,20.80%
Seminole County,22.90%,50.90%,14.90%,17.80%
Spalding County,22.60%,48.70%,13.40%,17.40%
Stephens County,20.90%,46.90%,12.60%,14.80%
Stewart County,22.60%,57.90%,15.50%,31.50%
Sumter County,26.50%,52.90%,14.80%,24.90%
Talbot County,24.90%,54.30%,15.60%,24.60%
Taliaferro County,22.20%,52.50%,15.10%,20.20%
Tattnall County,22.50%,46.80%,13.40%,25.50%
Taylor County,26.20%,53.70%,15.60%,27.40%
Telfair County,28.30%,56.80%,16.20%,26.70%
Terrell County,28.00%,53.70%,16.20%,29.50%
Thomas County,23.30%,48.40%,14.00%,18.80%
Tift County,23.90%,48.20%,13.40%,19.90%
Toombs County,25.60%,48.70%,14.60%,22.40%
Towns County,16.00%,45.20%,10.40%,10.70%
Treutlen County,25.50%,51.10%,15.60%,21.30%
Troup County,23.30%,48.00%,13.40%,20.20%
Turner County,28.30%,53.40%,17.30%,24.60%
Twiggs County,22.10%,49.60%,12.90%,19.70%
Union County,15.00%,44.40%,9.40%,9.20%
Upson County,23.10%,47.30%,13.80%,21.40%
Walker County,19.00%,44.80%,11.50%,11.60%
Walton County,18.70%,40.70%,10.10%,15.30%
Ware County,25.20%,50.40%,14.70%,22.00%
Warren County,25.60%,53.60%,14.60%,26.60%
Washington County,24.80%,52.40%,14.80%,22.80%
Wayne County,23.10%,48.50%,13.60%,16.80%
Webster County,19.80%,50.40%,10.70%,19.30%
Wheeler County,23.50%,49.10%,13.40%,28.80%
White County,15.90%,42.30%,9.00%,9.10%
Whitfield County,20.00%,44.10%,10.10%,15.50%
Wilcox County,22.60%,51.10%,13.40%,23.10%
Wilkes County,21.90%,48.70%,12.20%,21.10%
Wilkinson County,24.50%,51.30%,14.60%,20.10%
Worth County,21.50%,46.90%,12.50%,17.70%
