County,"2023 Population(Estimate)","InternalMedicine","FamilyMedicine",Pediatrics,"EmergencyMedicine",OB/GYN,Psychiatry,"GeneralSurgery","Total PrimaryCare/Core"
State of Georgia,11029227,4399,3348,2035,1595,1239,1005,735,14356
Appling,18457,1,2,1,1,0,0,0,5
Atkinson,8293,0,0,0,0,0,0,0,0
Bacon,11124,2,3,1,1,1,0,1,9
Baker,2743,0,0,0,0,0,0,0,0
Baldwin,43396,19,7,6,4,4,4,2,46
Banks,19789,1,4,2,0,0,0,0,7
Barrow,92792,2,15,5,1,0,0,0,23
Bartow,115041,25,36,11,10,5,2,5,94
Ben Hill,17128,2,3,1,2,1,0,1,10
Berrien,18570,0,5,0,0,0,0,0,5
Bibb,156512,128,77,32,44,32,16,17,346
Bleckley,12465,1,4,1,0,0,0,0,6
Brantley,18401,0,2,0,0,0,0,0,2
Brooks,16245,1,2,0,0,0,0,0,3
Bryan,49739,10,14,7,1,1,3,0,36
Bulloch,84327,20,31,13,3,12,4,4,87
Burke,24438,0,5,1,0,0,0,0,6
Butts,26887,6,3,1,2,0,1,0,13
Calhoun,5457,0,1,0,0,0,0,0,1
Camden,58118,10,15,6,3,6,1,2,43
Candler,11059,3,3,0,0,0,0,1,7
Carroll,127098,48,38,16,28,15,9,8,162
Catoosa,68910,15,36,14,20,2,6,3,96
Charlton,12934,2,3,0,0,0,0,0,5
Chatham,303655,175,103,66,46,47,57,23,517
Chattahoochee,8661,1,39,5,11,2,2,0,60
Chattooga,25222,2,3,0,0,0,1,0,6
Cherokee,286602,67,61,27,20,19,3,7,204
Clarke,129933,135,28,28,52,32,14,21,310
Clay,2853,2,0,0,0,0,0,0,2
Clayton,298300,46,32,25,21,22,8,6,160
Clinch,6746,2,1,0,0,0,0,0,3
Cobb,776743,310,251,175,83,102,79,37,1037
Coffee,43317,9,11,5,6,3,1,5,40
Colquitt,46167,10,22,6,3,4,6,5,56
Columbia,165162,36,48,29,9,5,5,5,137
Cook,17714,0,4,1,0,0,0,0,5
Coweta,155892,53,28,17,20,13,9,11,151
Crawford,12277,0,1,0,0,0,0,0,1
Crisp,19631,9,6,5,2,3,0,2,27
Dade,16165,1,4,1,1,0,0,0,7
Dawson,31732,5,15,4,0,3,0,0,27
Decatur,29087,3,8,3,0,3,0,2,19
DeKalb,762992,498,254,387,169,85,219,66,1678
Dodge,19776,4,3,1,0,1,0,1,10
Dooly,10981,0,2,0,0,0,0,0,2
Dougherty,82645,52,46,15,22,18,4,8,165
Douglas,149160,40,30,15,11,7,1,12,116
Early,10563,0,2,1,0,0,0,0,3
Echols,3709,0,0,0,0,0,0,0,0
Effingham,71541,7,7,4,22,1,0,4,45
Elbert,20013,4,8,0,1,0,0,3,16
Emanuel,23119,5,3,1,3,0,0,1,13
Evans,10754,1,1,0,0,0,0,3,5
Fannin,25955,7,8,2,3,0,2,2,24
Fayette,123351,66,52,29,32,31,8,8,226
Floyd,100113,84,57,16,12,10,10,8,197
Forsyth,272887,68,59,29,16,7,5,9,193
Franklin,24782,4,8,3,3,2,0,1,21
Fulton,1079105,964,455,362,331,333,289,159,2893
Gilmer,32860,0,12,4,1,0,0,0,17
Glascock,2954,0,1,0,0,0,0,0,1
Glynn,86172,26,28,16,20,13,7,6,116
Gordon,59757,12,22,5,4,6,1,9,59
Grady,26066,3,11,0,1,3,0,0,18
Greene,20722,5,7,3,0,1,0,2,18
Gwinnett,983526,299,231,168,88,74,55,36,951
Habersham,48757,11,8,2,1,2,2,3,29
Hall,217267,125,64,30,61,24,19,25,348
Hancock,8676,0,0,0,0,0,0,0,0
Haralson,32038,4,9,2,2,1,1,0,19
Harris,36654,2,6,1,0,1,0,0,10
Hart,27556,1,8,0,0,0,0,1,10
Heard,12034,0,0,0,0,0,0,0,0
Henry,254613,55,62,40,28,27,6,18,236
Houston,171974,47,47,20,11,10,7,5,147
Irwin,9120,1,1,1,0,0,0,0,3
Jackson,88615,29,31,12,2,6,0,4,84
Jasper,16455,1,4,0,2,0,0,0,7
Jeff Davis,14906,2,4,0,0,0,0,1,7
Jefferson,15183,2,0,1,1,0,0,0,4
Jenkins,8627,1,2,0,0,0,1,0,4
Johnson,9282,2,1,0,0,0,1,0,4
Jones,28969,0,3,0,0,0,0,0,3
Lamar,20401,0,5,3,0,0,0,0,8
Lanier,10452,2,0,0,0,0,0,0,2
Laurens,49941,29,39,7,14,5,6,5,105
Lee,33872,3,3,2,0,0,0,0,8
Liberty,69210,10,13,14,7,6,5,2,57
Lincoln,7879,0,1,0,0,0,0,0,1
Long,19594,0,1,0,0,0,0,0,1
Lowndes,120712,59,29,8,28,14,11,7,156
Lumpkin,35258,5,12,1,0,1,0,1,20
Macon,21799,0,1,0,0,0,0,0,1
Madison,11501,2,1,5,0,0,0,0,8
Marion,11817,0,1,0,0,0,0,0,1
McDuffie,32191,4,8,1,2,0,0,2,17
McIntosh,7440,1,0,0,0,0,0,0,1
Meriwether,20931,5,3,0,0,0,0,0,8
Miller,5747,0,4,0,0,0,0,1,5
Mitchell,21114,2,5,1,0,0,0,0,8
Monroe,30625,4,5,2,0,0,0,0,11
Montgomery,8761,0,0,0,0,0,0,0,0
Morgan,21460,3,8,1,1,2,0,1,16
Murray,41035,3,10,0,2,0,1,2,18
Muscogee,201877,68,134,42,28,37,27,17,353
Newton,120135,20,10,6,13,5,0,4,58
Oconee,44182,17,16,13,6,7,3,0,62
Oglethorpe,15754,0,2,0,0,0,0,0,2
Paulding,183164,23,17,8,6,2,1,1,58
Peach,28805,0,11,0,1,0,0,0,12
Pickens,35969,14,12,3,4,3,1,4,41
Pierce,20425,0,1,0,0,1,0,0,2
Pike,20461,0,2,0,0,1,0,0,3
Polk,44223,2,14,1,0,0,2,0,19
Pulaski,10095,4,3,1,0,1,1,2,12
Putnam,23129,1,5,0,1,2,0,0,9
Quitman,2280,0,0,0,0,0,0,0,0
Rabun,17442,2,6,0,6,2,1,0,17
Randolph,6078,0,1,0,0,0,0,0,1
Richmond,205414,198,147,105,124,56,41,53,724
Rockdale,95987,45,24,16,10,14,2,7,118
Schley,4526,0,0,0,0,0,0,0,0
Screven,14174,0,2,0,1,0,0,0,3
Seminole,9092,2,4,3,2,0,0,2,13
Spalding,69946,22,14,9,9,7,1,3,65
Stephens,27228,7,10,5,5,1,0,4,32
Stewart,4674,0,2,0,0,0,1,0,3
Sumter,28890,7,11,5,2,4,2,4,35
Talbot,5718,0,1,0,0,0,0,0,1
Taliaferro,1609,0,0,0,0,0,0,0,0
Tattnall,24296,2,2,0,0,0,0,1,5
Taylor,7758,1,1,0,0,1,0,0,3
Telfair,10920,1,1,0,0,0,0,0,2
Terrell,8718,0,1,0,0,0,0,0,1
Thomas,45649,26,28,8,18,7,7,6,100
Tift,41554,30,13,13,7,15,4,4,86
Toombs,27040,15,3,6,6,6,0,5,41
Towns,13035,2,6,0,0,0,1,0,9
Treutlen,6341,0,0,0,0,0,0,0,0
Troup,70742,25,17,10,11,10,2,6,81
Turner,8909,0,0,0,0,0,1,0,1
Twiggs,7691,0,0,0,0,0,0,0,0
Union,27124,6,19,2,6,4,0,4,41
Upson,28263,12,10,3,0,3,0,3,31
Walker,69489,4,8,2,0,0,0,0,14
Walton,106702,20,34,10,3,8,3,10,88
Ware,36243,24,16,4,13,3,2,3,65
Warren,5106,0,0,0,0,0,0,0,0
Washington,19820,5,4,3,0,0,1,0,13
Wayne,31373,7,6,5,1,2,0,1,22
