County Name,Population HPSA
Appling County,1
Atkinson County,0
Bacon County,1
Baker County,1
Baldwin County,1
Banks County,1
Barrow County,1
Bartow County,1
Ben Hill County,1
Berrien County,0
Bibb County,1
Bleckley County,1
Brantley County,0
Brooks County,0
Bryan County,0
Bulloch County,1
Burke County,0
Butts County,1
Calhoun County,1
Camden County,1
Candler County,1
Carroll County,1
Catoosa County,1
Charlton County,0
Chatham County,0
Chattahoochee County,1
Chattooga County,1
Cherokee County,0
Clarke County,1
Clay County,0
Clayton County,1
Clinch County,1
Cobb County,0
Coffee County,1
Colquitt County,0
Columbia County,1
Cook County,1
Coweta County,0
Crawford County,0
Crisp County,1
Dade County,1
Dawson County,1
De Kalb County,0
Decatur County,1
Dodge County,1
Dooly County,0
Dougherty County,1
Douglas County,1
Early County,0
Echols County,0
Effingham County,0
Elbert County,1
Emanuel County,0
Evans County,1
Fannin County,1
Fayette County,0
Floyd County,1
Forsyth County,0
Franklin County,1
Fulton County,0
Gilmer County,1
Glascock County,0
Glynn County,1
Gordon County,1
Grady County,1
Greene County,1
Gwinnett County,0
Habersham County,1
Hall County,1
Hancock County,0
Haralson County,1
Harris County,0
Hart County,1
Heard County,1
Henry County,0
Houston County,1
Irwin County,1
Jackson County,1
Jasper County,0
Jeff Davis County,0
Jefferson County,0
Jenkins County,0
Johnson County,0
Jones County,1
Lamar County,1
Lanier County,0
Laurens County,1
Lee County,0
Liberty County,0
Lincoln County,0
Long County,0
Lowndes County,1
Lumpkin County,1
Macon County,0
Madison County,1
Marion County,0
McDuffie County,1
McIntosh County,1
Meriwether County,0
Miller County,1
Mitchell County,0
Monroe County,1
Montgomery County,1
Morgan County,0
Murray County,1
Muscogee County,1
Newton County,0
Oconee County,0
Oglethorpe County,1
Paulding County,0
Peach County,0
Pickens County,1
Pierce County,1
Pike County,1
Polk County,1
Pulaski County,1
Putnam County,1
Quitman County,0
Rabun County,1
Randolph County,0
Richmond County,1
Rockdale County,0
Schley County,0
Screven County,0
Seminole County,1
Spalding County,1
Stephens County,1
Stewart County,0
Sumter County,1
Talbot County,0
Taliaferro County,0
Tattnall County,1
Taylor County,0
Telfair County,1
Terrell County,0
Thomas County,1
Tift County,1
Toombs County,1
Towns County,1
Treutlen County,0
Troup County,1
Turner County,1
Twiggs County,1
Union County,1
Upson County,1
Walker County,1
Walton County,1
Ware County,1
Warren County,0
Washington County,1
Wayne County,1
Webster County,0
Wheeler County,0
White County,1
Whitfield County,1
Wilcox County,0
Wilkes County,1
Wilkinson County,1
Worth County,1
