County,Drug,Population,Density
Appling  ,341.15,18821,0.018126029
Atkinson  ,112.6,8519,0.013217514
Bacon  ,207.59,10950,0.018957991
Baker  ,73.82,2714,0.027199705
Baldwin  ,497.33,43865,0.011337741
Banks  ,191.87,20773,0.009236509
Barrow  ,972.55,99577,0.009766814
Bartow  ,806.37,120039,0.006717567
Ben Hill  ,308.39,16740,0.018422342
Berrien  ,271.12,18745,0.01446359
Bibb  ,1954.05,157436,0.01241171
Bleckley  ,142.09,12797,0.011103384
Brantley  ,344.42,19173,0.017963803
Brooks  ,223.63,16413,0.013625175
Bryan  ,274.04,52334,0.005236366
Bulloch  ,922.33,86576,0.010653414
Burke  ,294.44,24513,0.012011586
Butts  ,277.42,27379,0.010132583
Calhoun  ,143.74,5420,0.026520295
Camden  ,944.96,60207,0.015695185
Candler  ,147.09,11154,0.013187197
Carroll  ,889.84,132529,0.006714304
Catoosa  ,494.78,68945,0.007176445
Charlton  ,227.55,13114,0.017351685
Chatham  ,2047.26,309915,0.006605876
Chattahoochee  ,141.83,8508,0.016670193
Chattooga  ,201.37,25436,0.007916732
Cherokee  ,1722.85,299783,0.00574699
Clarke  ,1819.21,129652,0.014031484
Clay  ,68.35,2761,0.024755523
Clayton  ,2991.41,296026,0.010105227
Clinch  ,91.07,6934,0.013133833
Cobb  ,5259.1,793868,0.006624653
Coffee  ,785.95,44238,0.0177664
Colquitt  ,797.14,47439,0.016803474
Columbia  ,1830.9,169474,0.010803427
Cook  ,230.88,18208,0.012680141
Coweta  ,1493.19,160197,0.009320961
Crawford  ,137.39,12363,0.011112998
Crisp  ,263.36,19268,0.013668258
Dade  ,128.7,15948,0.008069977
Dawson  ,231.14,35776,0.006460756
Decatur  ,597.52,772567,0.000773422
DeKalb  ,5554.69,29658,0.187291456
Dodge  ,237.09,19461,0.012182827
Dooly  ,162.27,11316,0.014339873
Dougherty  ,1658.52,82201,0.020176397
Douglas  ,1065.98,154373,0.006905223
Early  ,236.38,10318,0.022909479
Echols  ,54.11,3657,0.014796281
Effingham  ,474.35,74747,0.006346074
Elbert  ,317.05,20301,0.015617457
Emanuel  ,297.97,23302,0.012787314
Evans  ,147.12,10985,0.013392808
Fannin  ,246.65,25792,0.009563043
Fayette  ,1249.81,126516,0.009878671
Floyd  ,774.74,102373,0.007567816
Forsyth  ,1319.37,285657,0.004618721
Franklin  ,259.43,25601,0.010133589
Fulton  ,7970.61,1096737,0.007267567
Gilmer  ,291.16,33786,0.008617771
Glascock  ,38.4,3073,0.012495932
Glynn  ,1489.6,86851,0.017151213
Gordon  ,428.86,61686,0.006952307
Grady  ,526.67,26412,0.019940557
Greene  ,249.3,21449,0.011622919
Gwinnett  ,6162.77,1016136,0.006064907
Habersham  ,448.29,50479,0.008880723
Hall  ,1871.43,225242,0.00830853
Hancock  ,102.88,8636,0.011912923
Haralson  ,231.72,32768,0.007071533
Harris  ,168.47,37158,0.004533882
Hart  ,362.24,28547,0.012689249
Heard  ,133.76,12186,0.01097653
Henry  ,2391.55,263696,0.009069345
Houston  ,1521.74,177839,0.008556841
Irwin  ,167.27,9187,0.018207249
Jackson  ,648.8,98927,0.006558371
Jasper  ,140.69,17942,0.007841378
Jeff Davis  ,281.88,15311,0.018410293
Jefferson  ,219.79,14827,0.014823633
Jenkins  ,111.06,9044,0.012279965
Johnson  ,108.79,9028,0.012050288
Jones  ,332.14,29094,0.0114161
Lamar  ,214.66,20960,0.010241412
Lanier  ,135.18,10476,0.01290378
Laurens  ,529.47,50642,0.010455156
Lee  ,496.31,34218,0.014504354
Liberty  ,575.16,68979,0.00833819
