County,,"Mortality Rate deaths per 100,000"
Miller  ,,1000
Candler  ,,905
Treutlen  ,,817
Wilcox  ,,817
Early  ,,816
Ben Hill  ,,811
Stewart  ,,793
Bacon  ,,790
Jefferson  ,,785
Crisp  ,,775
Randolph  ,,773
Wilkinson  ,,773
Terrell  ,,770
Ware  ,,766
Emanuel  ,,763
Clay  ,,758
Upson  ,,755
Atkinson  ,,752
Hancock  ,,750
Clinch  ,,749
Jeff Davis  ,,735
Brantley  ,,722
Twiggs  ,,718
Toombs  ,,713
Dougherty  ,,712
Wayne  ,,712
Laurens  ,,710
Bibb  ,,708
Chattooga  ,,704
Meriwether  ,,702
Decatur  ,,699
Dodge  ,,699
Screven  ,,697
Elbert  ,,693
Montgomery  ,,691
Quitman  ,,691
Spalding  ,,689
Berrien  ,,685
Evans  ,,680
Pierce  ,,680
Baker  ,,678
Stephens  ,,677
Warren  ,,675
Polk  ,,673
Glascock  ,,672
Turner  ,,671
Haralson  ,,668
Seminole  ,,668
Jenkins  ,,667
Heard  ,,666
Lamar  ,,664
Coffee  ,,661
Colquitt  ,,661
Richmond  ,,660
Washington  ,,657
Peach  ,,654
Sumter  ,,653
McDuffie  ,,652
Macon  ,,646
Appling  ,,645
Marion  ,,645
Mitchell  ,,644
Butts  ,,642
Telfair  ,,642
Johnson  ,,639
Talbot  ,,638
Webster  ,,638
Crawford  ,,636
Tift  ,,636
Irwin  ,,635
Muscogee  ,,632
Taylor  ,,632
Franklin  ,,629
Tattnall  ,,629
McIntosh  ,,628
Bleckley  ,,624
Murray  ,,624
Charlton  ,,621
Wilkes  ,,621
Cook  ,,618
Dooly  ,,617
Worth  ,,616
Liberty  ,,615
Troup  ,,615
Floyd  ,,600
Baldwin  ,,598
Calhoun  ,,596
Burke  ,,592
Carroll  ,,587
Chattahoochee  ,,587
Thomas  ,,586
Walker  ,,584
Dade  ,,577
Lowndes  ,,576
Gordon  ,,571
Schley  ,,561
Jasper  ,,560
Putnam  ,,559
Lanier  ,,558
Grady  ,,554
Taliaferro  ,,546
Fannin  ,,541
Bartow  ,,540
Pike  ,,540
Pulaski  ,,536
Glynn  ,,535
Madison  ,,524
Lincoln  ,,523
Clayton  ,,520
Monroe  ,,520
Banks  ,,519
Newton  ,,518
Brooks  ,,516
Hart  ,,514
Long  ,,507
Whitfield  ,,499
Rabun  ,,498
White  ,,498
Walton  ,,491
Pickens  ,,489
Barrow  ,,486
Oglethorpe  ,,486
Bryan  ,,482
Bulloch  ,,482
Effingham  ,,482
Houston  ,,481
Wheeler  ,,480
Chatham  ,,479
Habersham  ,,479
Jones  ,,475
Towns  ,,474
Gilmer  ,,473
Morgan  ,,473
Lee  ,,468
Catoosa  ,,466
Jackson  ,,461
Lumpkin  ,,456
Henry  ,,450
Rockdale  ,,449
Douglas  ,,443
Echols  ,,439
Camden  ,,437
Greene  ,,429
Coweta  ,,403
Dawson  ,,403
Clarke  ,,399
Union  ,,397
Hall  ,,391
Fulton  ,,389
DeKalb  ,,385
Paulding  ,,379
Harris  ,,368
Columbia  ,,342
Cobb  ,,311
Gwinnett  ,,298
Cherokee  ,,288
Fayette  ,,287
Oconee  ,,278
Forsyth  ,,236
