County,Value,Population,drug distribution density
Appling  ,227.07,18821,0.012064715
Atkinson  ,126.11,8519,0.014803381
Bacon  ,138.17,10950,0.012618265
Baker  ,26.75,2714,0.009856301
Baldwin  ,545.31,43865,0.012431551
Banks  ,253.21,20773,0.01218938
Barrow  ,786.58,99577,0.007899214
Bartow  ,1351.62,120039,0.011259841
Ben Hill  ,137.89,16740,0.008237157
Berrien  ,268.78,18745,0.014338757
Bibb  ,2458.51,157436,0.015615933
Bleckley  ,155.79,12797,0.012173947
Brantley  ,229.25,19173,0.011956919
Brooks  ,234.66,16413,0.014297203
Bryan  ,392.46,52334,0.00749914
Bulloch  ,796.07,86576,0.009195043
Burke  ,247.3,24513,0.010088524
Butts  ,241.08,27379,0.008805289
Calhoun  ,51.88,5420,0.009571956
Camden  ,628.97,60207,0.010446792
Candler  ,123.63,11154,0.011083916
Carroll  ,1491.53,132529,0.011254367
Catoosa  ,619.64,68945,0.008987454
Charlton  ,151.5,13114,0.011552539
Chatham  ,2894.78,309915,0.009340561
Chattahoochee  ,172.4,8508,0.020263282
Chattooga  ,253,25436,0.009946532
Cherokee  ,2879.18,299783,0.009604214
Clarke  ,1329.2,129652,0.010252059
Clay  ,24.67,2761,0.008935168
Clayton  ,2583.49,296026,0.00872724
Clinch  ,102.33,6934,0.014757716
Cobb  ,7853.88,793868,0.009893181
Coffee  ,528.61,44238,0.011949229
Colquitt  ,355.84,47439,0.007501001
Columbia  ,1640.32,169474,0.009678889
Cook  ,259.44,18208,0.014248682
Coweta  ,1297.54,160197,0.008099652
Crawford  ,150.64,12363,0.012184745
Crisp  ,274.31,19268,0.014236558
Dade  ,161.18,15948,0.010106596
Dawson  ,307.4,35776,0.008592352
Decatur  ,215.8,772567,0.000279329
DeKalb  ,6182.11,29658,0.208446625
Dodge  ,259.97,19461,0.013358512
Dooly  ,177.92,11316,0.01572287
Dougherty  ,736.57,82201,0.008960597
Douglas  ,1786.78,154373,0.011574433
Early  ,85.32,10318,0.008269044
Echols  ,60.8,3657,0.016625649
Effingham  ,677.98,74747,0.009070331
Elbert  ,229.66,20301,0.011312743
Emanuel  ,255.19,23302,0.01095142
Evans  ,123.65,10985,0.011256259
Fannin  ,326.17,25792,0.012646169
Fayette  ,1086.05,126516,0.00858429
Floyd  ,1297.25,102373,0.012671798
Forsyth  ,1826.54,285657,0.006394172
Franklin  ,290.57,25601,0.011349947
Fulton  ,7369.79,1096737,0.006719742
Gilmer  ,392.25,33786,0.011609838
Glascock  ,32.25,3073,0.010494631
Glynn  ,991.49,86851,0.011415988
Gordon  ,557.24,61686,0.009033492
Grady  ,193.96,26412,0.007343632
Greene  ,182.15,21449,0.008492237
Gwinnett  ,8442.92,1016136,0.008308848
Habersham  ,592.81,50479,0.011743695
Hall  ,2474.76,225242,0.010987116
Hancock  ,112.43,8636,0.013018759
Haralson  ,388.4,32768,0.011853027
Harris  ,175.28,37158,0.004717154
Hart  ,301.33,28547,0.010555575
Heard  ,125.11,12186,0.010266699
Henry  ,2078.2,263696,0.007881045
Houston  ,1668.54,177839,0.009382306
Irwin  ,74.28,9187,0.008085338
Jackson  ,824.34,98927,0.008332811
Jasper  ,160.5,17942,0.008945491
Jeff Davis  ,187.62,15311,0.012253935
Jefferson  ,184.66,14827,0.012454306
Jenkins  ,93.34,9044,0.010320655
Johnson  ,118.97,9028,0.013177891
Jones  ,389.25,29094,0.013379047
Lamar  ,187.01,20960,0.008922233
Lanier  ,151.9,10476,0.014499809
Laurens  ,576.94,50642,0.01139252
Lee  ,220.42,34218,0.006441639
Liberty  ,823.68,68979,0.011941026
Lincoln  ,84.02,8200,0.010246341
Long  ,183.87,21227,0.008662081
Lowndes  ,1646.46,123364,0.013346357
Lumpkin  ,412.7,36764,0.011225656
Macon  ,174.27,11824,0.014738667
Madison  ,325.06,33287,0.009765374
Marion  ,56.7,7785,0.007283237
McDuffie  ,228.87,21668,0.010562581
McIntosh  ,186.06,12068,0.015417633
Meriwether  ,184.3,21914,0.008410149
Miller  ,47.48,5858,0.008105155
Mitchell  ,183.03,19880,0.00920674
Monroe  ,326.38,32258,0.0101178
Montgomery  ,102.56,8365,0.01226061
Morgan  ,202.95,22343,0.009083382
Murray  ,384.03,41560,0.009240375
Muscogee  ,3509.9,201701,0.0174015
Newton  ,1012.08,127491,0.007938443
Oconee  ,373.68,45246,0.008258852
Oglethorpe  ,169.68,16556,0.010248852
Paulding  ,1920.65,193563,0.009922609
Peach  ,330.31,29619,0.011151963
Pickens  ,395.17,37185,0.010627135
Pierce  ,233.57,20895,0.011178272
Pike  ,182.1,20916,0.008706254
Polk  ,559.71,44857,0.012477651
Pulaski  ,143.24,10246,0.01398009
Putnam  ,252.82,23583,0.010720434
Quitman  ,19.48,2368,0.008226351
Rabun  ,224.18,17897,0.012526122
Randolph  ,59.83,6057,0.009877827
Richmond  ,3385.6,206960,0.016358717
Rockdale  ,863.01,98957,0.008721061
Schley  ,27.42,4472,0.006131485
Screven  ,164.04,14446,0.011355392
Seminole  ,67.65,9468,0.00714512
Spalding  ,652.97,70592,0.009249915
Stephens  ,360.52,27741,0.012995927
Stewart  ,33.16,4921,0.006738468
Sumter  ,255.63,29002,0.00881422
Talbot  ,37.57,5795,0.006483175
Taliaferro  ,19.56,1639,0.011934106
Tattnall  ,286.85,24222,0.01184254
Taylor  ,105.47,7773,0.013568764
Telfair  ,198.41,11031,0.017986583
Terrell  ,72.2,8692,0.008306489
Thomas  ,371.76,46442,0.008004823
Tift  ,313.44,41796,0.007499282
Toombs  ,306,27778,0.011015912
Towns  ,144.22,13361,0.010794102
Treutlen  ,77.57,6489,0.011954076
Troup  ,652.27,72069,0.009050632
Turner  ,69.55,9120,0.007626096
Twiggs  ,115.71,7750,0.014930323
Union  ,294.13,28087,0.010472105
Upson  ,279.56,28451,0.009826017
Walker  ,666.26,69270,0.009618305
Walton  ,900.45,112806,0.007982288
Ware  ,452.28,36181,0.012500484
Warren  ,61.12,5188,0.011781033
Washington  ,252.34,19777,0.012759266
Wayne  ,374.79,32815,0.011421301
Webster  ,15.79,2263,0.006977464
Wheeler  ,84.03,7055,0.011910702
White  ,373.88,30280,0.012347424
Whitfield  ,994.22,105993,0.009380053
Wilcox  ,110.36,9007,0.012252692
Wilkes  ,120.57,9582,0.012582968
Wilkinson  ,114.08,8587,0.013285199
