County,Male Life Expectancy,Female Life Expectancy,Life Expectancy
Forsyth,79.58,82.91,81.245
Fayette,79.37,82.89,81.13
Oconee,78.86,82.43,80.645
Gwinnett,78.53,81.92,80.225
Cherokee,78.36,81.75,80.055
Cobb,78.22,81.49,79.855
Columbia,78,81.39,79.695
Hall,76.56,81.38,78.97
Harris,76.51,81.23,78.87
DeKalb,76.46,80.88,78.67
Gilmer,76.31,80.78,78.545
Coweta,76.3,80.7,78.5
Union,76.19,80.7,78.445
Dawson,76.11,80.67,78.39
Camden,76,80.63,78.315
Chattahoochee,75.93,80.6,78.265
Habersham,75.91,80.55,78.23
Paulding,75.86,80.54,78.2
Rockdale,75.83,80.5,78.165
White,75.82,80.48,78.15
Clarke,75.79,80.47,78.13
Towns,75.73,80.47,78.1
Houston,75.72,80.42,78.07
Lee,75.64,80.41,78.025
Jones,75.61,80.27,77.94
McIntosh,75.6,80.15,77.875
Pickens,75.58,80.14,77.86
Dooly,75.53,80.14,77.835
Webster,75.53,80.03,77.78
Lumpkin,75.5,79.98,77.74
Oglethorpe,75.42,79.97,77.695
Henry,75.36,79.8,77.58
Long,75.25,79.77,77.51
Catoosa,75.23,79.71,77.47
Baker,75.22,79.61,77.415
Monroe,75.18,79.61,77.395
Fulton,75.15,79.57,77.36
Wheeler,75.11,79.55,77.33
Rabun,75.04,79.54,77.29
Bulloch,75.03,79.54,77.285
Douglas,75.03,79.5,77.265
Banks,74.91,79.48,77.195
Morgan,74.89,79.43,77.16
Whitfield,74.77,79.4,77.085
Effingham,74.71,79.37,77.04
Putnam,74.69,79.35,77.02
Echols,74.6,79.29,76.945
Hart,74.56,79.27,76.915
Clayton,74.54,79.16,76.85
Glynn,74.53,79.11,76.82
Fannin,74.44,79.1,76.77
Greene,74.36,79.06,76.71
Chatham,74.33,79.04,76.685
Lanier,74.32,79,76.66
Liberty,74.27,78.99,76.63
Telfair,74.24,78.98,76.61
Baldwin,74.22,78.95,76.585
Walton,74.16,78.9,76.53
Johnson,74.12,78.88,76.5
Crawford,74.07,78.81,76.44
Bartow,73.96,78.77,76.365
Bryan,73.78,78.72,76.25
Charlton,73.75,78.61,76.18
Barrow,73.74,78.55,76.145
Pulaski,73.7,78.53,76.115
Floyd,73.63,78.52,76.075
Wilcox,73.63,78.5,76.065
Lowndes,73.62,78.49,76.055
Montgomery,73.56,78.45,76.005
Worth,73.53,78.41,75.97
Newton,73.42,78.38,75.9
Dade,73.38,78.37,75.875
Pike,73.3,78.34,75.82
Gordon,73.24,78.32,75.78
Jackson,73.24,78.28,75.76
Marion,73.23,78.26,75.745
Lincoln,73.2,78.26,75.73
Jasper,73.19,78.25,75.72
Carroll,73.09,78.22,75.655
Madison,73.01,78.2,75.605
Berrien,72.97,78.2,75.585
Wayne,72.94,78.2,75.57
Hancock,72.92,78.2,75.56
Dodge,72.84,78.17,75.505
Grady,72.83,78.16,75.495
Quitman,72.83,78.14,75.485
Bleckley,72.78,78.13,75.455
Brooks,72.78,78.1,75.44
Tattnall,72.75,78.07,75.41
Thomas,72.74,78.06,75.4
Schley,72.68,78.05,75.365
Sumter,72.64,78.04,75.34
Stewart,72.61,78.04,75.325
Muscogee,72.6,78.01,75.305
Tift,72.57,77.99,75.28
Murray,72.54,77.94,75.24
Troup,72.53,77.92,75.225
Taliaferro,72.5,77.91,75.205
Treutlen,72.46,77.88,75.17
Miller,72.38,77.88,75.13
Coffee,72.38,77.87,75.125
Chattooga,72.37,77.86,75.115
Mitchell,72.31,77.83,75.07
Irwin,72.23,77.78,75.005
Washington,72.22,77.73,74.975
Walker,72.21,77.73,74.97
Lamar,72.15,77.7,74.925
Spalding,72.14,77.7,74.92
Laurens,72.08,77.65,74.865
Brantley,72.07,77.65,74.86
Screven,72,77.59,74.795
Heard,71.98,77.55,74.765
Colquitt,71.97,77.52,74.745
Evans,71.91,77.48,74.695
Crisp,71.89,77.47,74.68
Candler,71.87,77.45,74.66
Dougherty,71.86,77.42,74.64
Seminole,71.82,77.42,74.62
Appling,71.79,77.36,74.575
Wilkes,71.78,77.35,74.565
Calhoun,71.75,77.35,74.55
Pierce,71.72,77.3,74.51
Stephens,71.7,77.29,74.495
Atkinson,71.58,77.18,74.38
Ware,71.58,77.11,74.345
Turner,71.55,77.1,74.325
Twiggs,71.45,77.08,74.265
Elbert,71.44,77.07,74.255
Wilkinson,71.44,77.05,74.245
Franklin,71.43,77.05,74.24
Macon,71.43,76.97,74.2
Butts,71.43,76.96,74.195
Talbot,71.43,76.95,74.19
Glascock,71.38,76.92,74.15
Haralson,71.35,76.91,74.13
Meriwether,71.35,76.86,74.105
Upson,71.34,76.84,74.09
Warren,71.32,76.83,74.075
Toombs,71.22,76.82,74.02
Polk,71.2,76.82,74.01
Decatur,71.2,76.82,74.01
Randolph,71.15,76.74,73.945
Taylor,71.14,76.73,73.935
Jenkins,71.04,76.61,73.825
Richmond,70.96,76.61,73.785
Jeff Davis,70.92,76.61,73.765
Clay,70.92,76.56,73.74
Peach,70.9,76.52,73.71
Ben Hill,70.85,76.5,73.675
Terrell,70.62,76.5,73.56
Bibb,70.54,76.41,73.475
McDuffie,70.44,76.39,73.415
Emanuel,70.31,76.34,73.325
Burke,70.09,76.26,73.175
Clinch,70.04,76.22,73.13
Bacon,69.83,76.21,73.02
Early,69.83,76.15,72.99
Jefferson,69.73,75.99,72.86
,,75.86,
