County,Psych/Mental Health NP
Appling,0
Atkinson,0
Bacon,1
Baker,0
Baldwin,15
Banks,0
Barrow,1
Bartow,4
Ben Hill,0
Berrien,1
Bibb,10
Bleckley,1
Brantley,0
Brooks,0
Bryan,1
Bulloch,2
Burke,0
Butts,0
Calhoun,0
Camden,4
Candler,0
Carroll,16
Catoosa,2
Charlton,0
Chatham,20
Chattahoochee,1
Chattooga,0
Cherokee,8
Clarke,10
Clay,0
Clayton,20
Clinch,0
Cobb,76
Coffee,1
Colquitt,5
Columbia,8
Cook,1
Coweta,7
Crawford,0
Crisp,0
Dade,0
Dawson,0
De Kalb,98
Decatur,0
Dodge,0
Dooly,0
Dougherty,6
Douglas,15
Early,0
Echols,0
Effingham,2
Elbert,0
Emanuel,3
Evans,0
Fannin,0
Fayette,18
Floyd,5
Forsyth,11
Franklin,0
Fulton,104
Gilmer,0
Glascock,0
Glynn,11
Gordon,1
Grady,1
Greene,2
Gwinnett,101
Habersham,0
Hall,9
Hancock,0
Haralson,0
Harris,1
Hart,0
Heard,0
Henry,24
Houston,20
Irwin,0
Jackson,1
Jasper,0
Jeff Davis,1
Jefferson,0
Jenkins,1
Johnson,0
Jones,3
Lamar,1
Lanier,1
Laurens,3
Lee,2
Liberty,6
Lincoln,0
Long,1
Lowndes,12
Lumpkin,3
Macon,0
Madison,0
Marion,0
McDuffie,0
McIntosh,0
Meriwether,0
Miller,0
Mitchell,0
Monroe,1
Montgomery,0
Morgan,0
Murray,2
Muscogee,28
Newton,2
Oconee,5
Oglethorpe,0
Paulding,12
Peach,0
Pickens,1
Pierce,0
Pike,1
Polk,2
Pulaski,0
Putnam,0
Quitman,0
Rabun,1
Randolph,0
Richmond,20
Rockdale,9
Schley,0
Screven,0
Seminole,0
Spalding,5
Stephens,0
Stewart,0
Sumter,2
Talbot,0
Taliaferro,0
Tattnall,1
Taylor,0
Telfair,0
Terrell,0
Thomas,7
Tift,3
Toombs,0
Towns,1
Treutlen,0
Troup,5
Turner,0
Twiggs,0
Union,0
Upson,0
Walker,0
Walton,11
Ware,0
Warren,0
Washington,0
Wayne,1
Webster,0
Wheeler,0
White,1
Whitfield,6
Wilcox,0
Wilkes,0
Wilkinson,0
Worth,1
