County,Percent
Bartow  ,53.1
Wheeler  ,56.4
Spalding  ,57
Taylor  ,58.6
Rockdale  ,58.8
Douglas  ,59.1
Polk  ,59.3
Pike  ,60
Meriwether  ,61.2
Gordon  ,61.5
Catoosa  ,62.1
Randolph  ,62.1
Greene  ,62.4
Emanuel  ,62.5
Appling  ,62.6
Twiggs  ,62.6
Franklin  ,62.7
Upson  ,62.7
Brooks  ,63
Tattnall  ,63.5
Brantley  ,63.6
Ben Hill  ,64
Johnson  ,64
Laurens  ,64
Towns  ,64
Walker  ,64.1
Coweta  ,64.2
Stephens  ,64.3
Worth  ,64.4
Charlton  ,64.6
Gilmer  ,64.7
Clarke  ,64.8
Echols  ,65
Cherokee  ,65.1
Chattooga  ,65.4
Wilcox  ,65.5
Lowndes  ,65.6
Schley  ,65.6
Bryan  ,65.7
Hancock  ,65.8
Habersham  ,65.9
Crawford  ,66.1
Carroll  ,66.3
Terrell  ,66.3
Hart  ,66.5
Butts  ,66.6
Pickens  ,66.7
Morgan  ,66.8
Chattahoochee  ,66.9
Macon  ,66.9
Dooly  ,67.1
Colquitt  ,67.2
Grady  ,67.2
Jeff Davis  ,67.2
Clay  ,67.3
Wilkinson  ,67.3
Barrow  ,67.4
Houston  ,67.4
Wayne  ,67.4
Burke  ,67.5
Dawson  ,67.6
Murray  ,67.7
Banks  ,67.8
Sumter  ,67.8
Pierce  ,67.9
Fannin  ,68.3
Webster  ,68.3
Chatham  ,68.7
Jones  ,68.7
Lumpkin  ,68.7
Washington  ,68.8
Ware  ,68.9
Telfair  ,69.1
Monroe  ,69.2
Putnam  ,69.2
Baker  ,69.3
Coffee  ,69.3
McDuffie  ,69.3
Effingham  ,69.4
Quitman  ,69.4
Taliaferro  ,69.4
White  ,69.4
Dade  ,69.5
Fulton  ,69.5
Jasper  ,69.5
Rabun  ,69.5
Gwinnett  ,69.6
Irwin  ,69.6
Atkinson  ,69.8
Early  ,69.8
Harris  ,69.8
Baldwin  ,69.9
Long  ,70
Whitfield  ,70
Bleckley  ,70.1
Seminole  ,70.1
Forsyth  ,70.2
Liberty  ,70.2
Miller  ,70.2
Talbot  ,70.2
Glascock  ,70.3
Calhoun  ,70.4
Heard  ,70.7
Stewart  ,70.7
Walton  ,70.7
Jefferson  ,70.8
Bulloch  ,71.1
Jenkins  ,71.1
Lamar  ,71.1
Paulding  ,71.1
Clinch  ,71.2
Decatur  ,71.2
Treutlen  ,71.4
Cook  ,71.5
Richmond  ,71.5
Dougherty  ,71.6
Tift  ,71.6
Berrien  ,71.7
Bibb  ,71.7
Screven  ,71.8
Warren  ,71.8
Fayette  ,72
Mitchell  ,72
Dodge  ,72.1
Floyd  ,72.2
Madison  ,72.3
Evans  ,72.4
Lanier  ,72.6
Elbert  ,72.7
Jackson  ,72.7
Oglethorpe  ,72.7
Columbia  ,72.8
Lee  ,73.3
Glynn  ,73.4
Pulaski  ,73.5
Troup  ,73.6
Muscogee  ,73.7
Montgomery  ,73.8
Hall  ,74.5
McIntosh  ,75
Clayton  ,75.2
Bacon  ,75.4
Candler  ,75.4
Thomas  ,75.4
Turner  ,75.4
Marion  ,75.8
DeKalb  ,76
Oconee  ,76.1
Camden  ,76.7
Lincoln  ,77.1
Cobb  ,78.2
Crisp  ,78.5
Union  ,78.6
Henry  ,79.1
Haralson  ,79.5
Toombs  ,79.6
Newton  ,80.3
Peach  ,80.9
Wilkes  ,81.3
