ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72081,ADJUNTAS,PR,0.002547987,0.005063291,0.012195122,0.002947564
00601,72001,ADJUNTAS,PR,0.997452013,0.994936709,0.987804878,0.997052436
00602,72117,AGUADA,PR,0.000585823,0.000000000,0.000000000,0.000531430
00602,72005,AGUADA,PR,0.000000000,0.001019368,0.000000000,0.000075919
00602,72003,AGUADA,PR,0.999414177,0.998980632,1.000000000,0.999392651
00603,72099,AGUADILLA,PR,0.000648754,0.000890472,0.000000000,0.000642674
00603,72005,AGUADILLA,PR,0.998486241,0.998219056,1.000000000,0.998516907
00603,72071,AGUADILLA,PR,0.000865005,0.000890472,0.000000000,0.000840419
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72065,ARECIBO,PR,0.006724384,0.000000000,0.000000000,0.005927682
00612,72013,ARECIBO,PR,0.990333698,1.000000000,0.998544396,0.991441909
00612,72017,ARECIBO,PR,0.001176767,0.000000000,0.000000000,0.001037344
00612,72054,ARECIBO,PR,0.001555014,0.000000000,0.000000000,0.001370777
00612,72141,ARECIBO,PR,0.000210137,0.000000000,0.001455604,0.000222288
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72091,BARCELONETA,PR,0.000728730,0.000000000,0.000000000,0.000680156
00617,72017,BARCELONETA,PR,0.998997996,1.000000000,1.000000000,0.999064785
00617,72054,BARCELONETA,PR,0.000273274,0.000000000,0.000000000,0.000255059
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72023,CABO ROJO,PR,0.998666497,0.998918919,1.000000000,0.998696064
00623,72097,CABO ROJO,PR,0.001333503,0.001081081,0.000000000,0.001303936
00624,72111,PENUELAS,PR,0.998941799,0.979797980,1.000000000,0.997998749
00624,72113,PENUELAS,PR,0.001058201,0.000000000,0.000000000,0.001000625
