County,Life Expectancy
Fayette,82.91
Forsyth,82.89
Gwinnett,82.43
Oconee,81.92
Cobb,81.75
DeKalb,81.49
Cherokee,81.39
Columbia,81.38
Harris,81.23
Catoosa,80.88
Baker,80.78
Towns,80.7
Union,80.7
McIntosh,80.67
Clarke,80.63
Habersham,80.6
Hall,80.55
Dawson,80.54
Paulding,80.5
White,80.48
Webster,80.47
Oglethorpe,80.47
Gilmer,80.42
Rockdale,80.41
Echols,80.27
Jones,80.15
Banks,80.14
Rabun,80.14
Fulton,80.03
Coweta,79.98
Schley,79.97
Houston,79.8
Morgan,79.77
Lumpkin,79.71
Clayton,79.61
Chatham,79.61
Lee,79.57
Fannin,79.55
Putnam,79.54
Hart,79.54
Pulaski,79.5
Henry,79.48
Worth,79.43
Crawford,79.4
Camden,79.37
Whitfield,79.35
Liberty,79.29
Greene,79.27
Pickens,79.16
Monroe,79.11
Glynn,79.1
Quitman,79.06
Bulloch,79.04
Barrow,79.0
Walton,78.99
Long,78.98
Dooly,78.95
Douglas,78.9
Irwin,78.88
Effingham,78.81
Jasper,78.77
Bleckley,78.72
Lincoln,78.61
Pike,78.55
Newton,78.53
Taliaferro,78.52
Miller,78.5
Randolph,78.49
Marion,78.45
Brooks,78.41
Meriwether,78.38
Wheeler,78.37
Lowndes,78.34
Franklin,78.32
Bartow,78.28
Grady,78.26
Montgomery,78.26
Gordon,78.25
Chattahoochee,78.22
Dougherty,78.2
Elbert,78.2
Jackson,78.2
Telfair,78.2
Hancock,78.17
Thomas,78.16
Johnson,78.14
Bryan,78.13
Baldwin,78.1
Wilkinson,78.07
Twiggs,78.06
Mitchell,78.05
Seminole,78.04
Tift,78.04
Washington,78.01
Taylor,77.99
Laurens,77.94
Madison,77.92
Clay,77.91
Floyd,77.88
Wilkes,77.88
Pierce,77.87
Heard,77.86
Dade,77.83
Treutlen,77.78
Decatur,77.73
Crisp,77.73
Early,77.7
Brantley,77.7
Troup,77.65
Colquitt,77.65
Charlton,77.59
Walker,77.55
Evans,77.52
Coffee,77.48
Tattnall,77.47
Muscogee,77.45
Berrien,77.42
Talbot,77.42
Murray,77.36
Jenkins,77.35
Stephens,77.35
Dodge,77.3
Carroll,77.29
Terrell,77.18
Wayne,77.11
Sumter,77.1
Richmond,77.08
Warren,77.07
Spalding,77.05
Candler,77.05
Butts,76.97
Glascock,76.96
Toombs,76.95
Appling,76.92
Turner,76.91
McDuffie,76.86
Ware,76.84
Chattooga,76.83
Bibb,76.82
Cook,76.82
Calhoun,76.82
Wilcox,76.74
Peach,76.73
Lamar,76.61
Stewart,76.61
Screven,76.61
Macon,76.56
Lanier,76.52
Atkinson,76.5
Emanuel,76.5
Jefferson,76.41
Burke,76.39
Clinch,76.34
Ben Hill,76.26
Bacon,76.22
Jeff Davis,76.21
Haralson,76.15
Upson,75.99
Polk,75.86
