County,Life Expectancy
Forsyth,79.58
Fayette,79.37
Oconee,78.86
Gwinnett,78.53
Cherokee,78.36
Cobb,78.22
Columbia,78.0
Hall,76.56
Harris,76.51
DeKalb,76.46
Gilmer,76.31
Coweta,76.3
Union,76.19
Dawson,76.11
Camden,76.0
Chattahoochee,75.93
Habersham,75.91
Paulding,75.86
Rockdale,75.83
White,75.82
Clarke,75.79
Towns,75.73
Houston,75.72
Lee,75.64
Jones,75.61
McIntosh,75.6
Pickens,75.58
Dooly,75.53
Webster,75.53
Lumpkin,75.5
Oglethorpe,75.42
Henry,75.36
Long,75.25
Catoosa,75.23
Baker,75.22
Monroe,75.18
Fulton,75.15
Wheeler,75.11
Rabun,75.04
Bulloch,75.03
Douglas,75.03
Banks,74.91
Morgan,74.89
Whitfield,74.77
Effingham,74.71
Putnam,74.69
Echols,74.6
Hart,74.56
Clayton,74.54
Glynn,74.53
Fannin,74.44
Greene,74.36
Chatham,74.33
Lanier,74.32
Liberty,74.27
Telfair,74.24
Baldwin,74.22
Walton,74.16
Johnson,74.12
Crawford,74.07
Bartow,73.96
Bryan,73.78
Charlton,73.75
Barrow,73.74
Pulaski,73.7
Floyd,73.63
Wilcox,73.63
Lowndes,73.62
Montgomery,73.56
Worth,73.53
Newton,73.42
Dade,73.38
Pike,73.3
Gordon,73.24
Jackson,73.24
Marion,73.23
Lincoln,73.2
Jasper,73.19
Carroll,73.09
Madison,73.01
Berrien,72.97
Wayne,72.94
Hancock,72.92
Dodge,72.84
Grady,72.83
Quitman,72.83
Bleckley,72.78
Brooks,72.78
Tattnall,72.75
Thomas,72.74
Schley,72.68
Sumter,72.64
Stewart,72.61
Muscogee,72.6
Tift,72.57
Murray,72.54
Troup,72.53
Taliaferro,72.5
Treutlen,72.46
Miller,72.38
Coffee,72.38
Chattooga,72.37
Mitchell,72.31
Irwin,72.23
Washington,72.22
Walker,72.21
Lamar,72.15
Spalding,72.14
Laurens,72.08
Brantley,72.07
Screven,72.0
Heard,71.98
Colquitt,71.97
Evans,71.91
Crisp,71.89
Candler,71.87
Dougherty,71.86
Seminole,71.82
Appling,71.79
Wilkes,71.78
Calhoun,71.75
Pierce,71.72
Stephens,71.7
Atkinson,71.58
Ware,71.58
Turner,71.55
Twiggs,71.45
Elbert,71.44
Wilkinson,71.44
Franklin,71.43
Macon,71.43
Butts,71.43
Talbot,71.43
Glascock,71.38
Haralson,71.35
Meriwether,71.35
Upson,71.34
Warren,71.32
Toombs,71.22
Polk,71.2
Decatur,71.2
Randolph,71.15
Taylor,71.14
Jenkins,71.04
Richmond,70.96
Jeff Davis,70.92
Clay,70.92
Peach,70.9
Ben Hill,70.85
Terrell,70.62
Bibb,70.54
McDuffie,70.44
Emanuel,70.31
Burke,70.09
Clinch,70.04
Bacon,69.83
Early,69.83
Jefferson,69.73
